Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C7, C8",CP_Radial_D5.0mm_P2.00mm,6,1uF,
"C10, C11, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,1pF,
"C4, C5, C6",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,1nF,
D1,LED_D5.0mm,1,red,
D2,LED_D5.0mm,1,blue,
D3,LED_D5.0mm,1,green,
"D4, D5",D_DO-34_SOD68_P7.62mm_Horizontal,2,1N4007,
F3,Fuse_Bourns_MF-RG900,1,MF-RX160/72-0,
"H1, H2, H3, H4, H5, H6",MountingHole_4.3mm_M4,6,MountingHole,
J1,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",1,Conn_01x04,
"J3, J4, J5",IDC-Header_2x08_P2.54mm_Vertical,3,Conn_02x08_Odd_Even,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
U1,TO-220-3_Vertical,1,LM7805_TO220,
